Fecha,Precio,Volumen,Sentimiento,EstadoDolar,ActivoRef,Tendencia
2022-01-01,101.29342830602246,1648,Se espera un crecimiento sostenido en los activos.,fuerte,bonos,baja
2022-01-02,101.3168997036801,1317,Se anticipa una caída en los activos financieros.,debil,petróleo,sube
2022-01-03,102.91227677988148,4748,Predomina el pesimismo en los mercados.,debil,petróleo,baja
2022-01-04,106.25833649269754,4296,Se anticipa una caída en los activos financieros.,fuerte,bonos,sube
2022-01-05,106.09002974325085,4890,El panorama económico es alentador.,fuerte,bonos,baja
2022-01-06,105.92175582935249,2257,Las condiciones se mantienen sin alteraciones significativas.,debil,petróleo,baja
2022-01-07,109.38018146036728,1683,Los analistas proyectan una subida en los precios.,debil,bonos,sube
2022-01-08,111.2150509186731,1663,El mercado refleja un optimismo generalizado.,fuerte,oro,sube
2022-01-09,110.5761021468032,2998,Predomina el pesimismo en los mercados.,debil,petróleo,baja
2022-01-10,111.96122223397512,4898,Los inversores muestran preocupación por la situación actual.,debil,bonos,baja
2022-01-11,111.3343868483502,4445,Los precios no muestran una tendencia clara.,debil,petróleo,baja
2022-01-12,110.70292734120969,4743,El mercado refleja un optimismo generalizado.,debil,oro,sube
2022-01-13,111.48685188434176,2631,Se espera un crecimiento sostenido en los activos.,fuerte,petróleo,sube
2022-01-14,107.96029139502616,2495,Se espera un crecimiento sostenido en los activos.,fuerte,petróleo,baja
2022-01-15,104.81045573000009,4304,Los inversores muestran preocupación por la situación actual.,debil,petróleo,baja
2022-01-16,103.98588067151815,4763,Predomina el pesimismo en los mercados.,debil,petróleo,baja
2022-01-17,102.2602184308493,2136,Los precios no muestran una tendencia clara.,debil,oro,sube
2022-01-18,103.18871309603985,2853,El panorama económico es alentador.,fuerte,petróleo,sube
2022-01-19,101.67266494499742,2520,Los analistas proyectan una subida en los precios.,debil,petróleo,baja
2022-01-20,99.14805754232684,3489,Se anticipa una caída en los activos financieros.,debil,bonos,baja
2022-01-21,102.37935508016994,1563,Predomina el pesimismo en los mercados.,debil,petróleo,baja
2022-01-22,102.22780247919688,2291,Los inversores muestran confianza en el mercado.,debil,bonos,sube
2022-01-23,102.66285888857273,4581,El mercado se mantiene estable sin grandes cambios.,debil,oro,sube
2022-01-24,100.11336251614581,4878,Predomina el pesimismo en los mercados.,debil,oro,sube
2022-01-25,99.32459706709545,4457,El comportamiento de los activos es moderado.,fuerte,oro,baja
2022-01-26,99.84644224651518,4458,Las condiciones se mantienen sin alteraciones significativas.,debil,oro,sube
2022-01-27,97.84445509167057,4184,El mercado refleja un optimismo generalizado.,debil,bonos,sube
2022-01-28,98.89585112836191,2636,El mercado refleja un optimismo generalizado.,fuerte,petróleo,sube
2022-01-29,97.9945737485243,4696,El comportamiento de los activos es moderado.,fuerte,oro,baja
2022-01-30,97.71118624893775,3999,Los inversores muestran confianza en el mercado.,fuerte,petróleo,sube
2022-01-31,96.80777302447896,4152,Los analistas advierten sobre posibles pérdidas.,fuerte,bonos,baja
2022-02-01,100.81232939349684,1698,No se observan movimientos relevantes en el mercado.,debil,bonos,sube
2022-02-02,101.08533494402097,3160,El mercado se mantiene estable sin grandes cambios.,fuerte,bonos,sube
2022-02-03,99.26991308610917,1001,El mercado refleja un optimismo generalizado.,fuerte,oro,sube
2022-02-04,101.21500291031555,1641,Las condiciones se mantienen sin alteraciones significativas.,fuerte,petróleo,sube
2022-02-05,99.0733156103735,3267,Los analistas proyectan una subida en los precios.,fuerte,petróleo,baja
2022-02-06,99.79104280038301,2589,Las condiciones se mantienen sin alteraciones significativas.,fuerte,petróleo,sube
2022-02-07,96.17170255262346,1854,Predomina el pesimismo en los mercados.,debil,bonos,baja
2022-02-08,93.81533045482661,2759,Los analistas proyectan una subida en los precios.,debil,oro,sube
2022-02-09,94.50905292656485,4296,El panorama económico es alentador.,fuerte,bonos,sube
